ID,Brand,Tipe,CPU,RAM,Memori,GPU,SistemOperasi,Berat,Layar,Harga
149,Eclipse,Notebook,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Gemini 5,2.33kg,15.6inch Full HD 1920x1080,14459408.0
150,Eclipse,Notebook,,8GB,256GB SSD,AMD Radeon 520,Penguin OS,2.14kg,15.6inch Full HD 1920x1080,12593219.24
151,Vivid,Notebook,Intel Core i7 6700HQ 2.6GHz,6GB,1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.18kg,15.6inch IPS Panel Full HD 1920x1080,13688468.0
152,Vivid,Notebook,Intel Core i7 8550U 1.8GHz,16GB,1TB HDD,Nvidia GeForce MX150,Gemini 5,2.9kg,17.3inch IPS Panel Full HD 1920x1080,18142788.0
153,Eclipse,Notebook,Intel Core i3 6100U 2.3GHz,8GB,128GB SSD,Intel HD Graphics 520,,1.79kg,14.0inch 1366x768,12677680.0
154,Eclipse,Ultrabook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.36kg,14.0inch Full HD 1920x1080,28079348.0
155,Eclipse,Notebook,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.9kg,15.6inch Full HD 1920x1080,23590764.0
156,Traverse,Notebook,Intel Core i5 6200U 2.3GHz,,500GB HDD,Intel HD Graphics 520,Gemini 5,2.1kg,15.6inch 1366x768,13362960.0
157,Pulse,,Intel Core i3 6006U 2GHz,,128GB SSD,Intel HD Graphics 520,No OS,2.2kg,15.6inch 1366x768,6321708.0
158,Quantum,Ultrabook,Intel Core M 1.1GHz,8GB,256GB Flash Storage,Intel HD Graphics 515,Orange OS X,0.920kg,12.0inch IPS Panel Retina Display 2304x1440,22271600.0
159,Eclipse,,Intel Core i5 6440HQ 2.6GHz,8GB,500GB HDD,AMD FirePro W5130M,Gemini 5,2.23kg,15.6inch Full HD 1920x1080,23453708.0
160,Stellar,Notebook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2kg,15.6inch IPS Panel 4K Ultra HD 3840x2160,22254468.0
161,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Gemini 5,4.3kg,17.3inch Full HD 1920x1080,30820468.0
162,Galaxy,Gaming,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.7kg,17.3inch Full HD 1920x1080,18759540.0
163,Eclipse,Notebook,Intel Core i5 6300U 2.4GHz,8GB,500GB HDD,,Gemini 5,2.09kg,15.6inch Full HD 1920x1080,17927610.080000002
164,Vivid,Notebook,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Gemini 2,2.31kg,15.6inch Full HD 1920x1080,16104080.0
165,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Nvidia GeForce 920MX,Gemini 5,2.4kg,15.6inch Full HD 1920x1080,11906740.0
166,Eclipse,Notebook,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,,Gemini 5,2.36kg,15.6inch Full HD 1920x1080,16772228.0
167,Stellar,Notebook,Intel Core i7 6700HQ 2.6GHz,12GB,128GB SSD +  1TB HDD,Intel HD Graphics 530,Gemini 5,2.06kg,15.6inch IPS Panel 4K Ultra HD 3840x2160,22254468.0
168,Orbit,Ultrabook,Intel Core M m3-7Y30 2.2GHz,4GB,128GB SSD,Intel HD Graphics 615,Gemini 5 S,1.252kg,13.5inch Touchscreen 2256x1504,16943548.0
169,Zenith,Notebook,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce MX130,Gemini 5,2.2kg,15.6inch IPS Panel 1366x768,11889436.68
170,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,AMD Radeon R5 M430,Gemini 5,2.3kg,15.6inch Full HD 1920x1080,10022220.0
171,Stellar,Ultrabook,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Nvidia GeForce 940MX,Gemini 5,1.63kg,15.6inch Full HD 1920x1080,25149776.0
172,Vivid,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,,1.86kg,15.6inch Full HD 1920x1080,8034908.0
173,Pulse,Ultrabook,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.3kg,12.5inch IPS Panel Full HD / Touchscreen 1920x1080,29355510.68
174,Galaxy,Gaming,Intel Core i7 7820HK 2.9GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,4.14kg,17.3inch Full HD 1920x1080,46753228.0
175,Pulse,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Gemini 5,1.4kg,13.9inch IPS Panel 4K Ultra HD / Touchscreen 3840x2160,31677068.0
176,Vivid,Notebook,,,256GB SSD,Nvidia GeForce 930MX ,Gemini 5,2.1kg,15.6inch Full HD 1920x1080,15059028.0
177,Stellar,Gaming,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Gemini 5,3.25kg,17.3inch IPS Panel Full HD 1920x1080,37673268.0
178,Zenith,2 in 1 Convertible,Intel Celeron Quad Core N3160 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,RamEater OS,1.25kg,11.6inch IPS Panel Touchscreen 1366x768,6493028.0
179,Stellar,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,,1.5kg,14.0inch Full HD 1920x1080,5105336.0
180,Pulse,Notebook,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 510,RamEater OS,1.45kg,13.3inch 1366x768,7879006.8
181,Eclipse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon R5 M430,Penguin OS,2.2kg,15.6inch Full HD 1920x1080,10277486.8
182,Stellar,,AMD E-Series 7110 1.8GHz,4GB,500GB HDD,AMD Radeon R2 Graphics,Gemini 5,2kg,15.6inch 1366x768,5979068.0
183,Zenith,Ultrabook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,,Gemini 5,1.8kg,14.0inch IPS Panel Full HD 1920x1080,15744308.0
184,Eclipse,Ultrabook,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,Penguin OS,1.23kg,13.3inch Quad HD+ / Touchscreen 3200x1800,18828068.0
185,Vivid,Gaming,Intel Core i7 7700HQ 2.8GHz,12GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.62kg,15.6inch IPS Panel Full HD 1920x1080,21397868.0
186,Zenith,Notebook,AMD A8-Series 7410 2.2GHz,8GB,1TB HDD,AMD Radeon R5,Gemini 5,2.4kg,15.6inch 1366x768,7692268.0
187,Pulse,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Gemini 5,1.44kg,14.0inch 1366x768,5002544.0
188,Eclipse,Notebook,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,,2.2kg,15.6inch Full HD 1920x1080,20888019.68
189,Zenith,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,,Gemini 5,2.23kg,15.6inch Full HD 1920x1080,9319808.0
190,Eclipse,Notebook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,13705600.0
191,Eclipse,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,4.42kg,17.3inch IPS Panel Full HD 1920x1080,42082016.88
192,Zenith,Notebook,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.4kg,15.6inch Full HD 1920x1080,8548868.0
193,Zenith,Notebook,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2.1kg,15.6inch 1366x768,10262068.0
194,Zenith,Notebook,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,Penguin OS,2.1kg,15.6inch 1366x768,6287444.0
195,Traverse,Notebook,Intel Core i3 6006U 2.2GHz,4GB,500GB HDD,Intel HD Graphics 520,Gemini 5,2.1kg,15.6inch 1366x768,7658004.0
196,Stellar,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Gemini 5,1.5kg,14.0inch 1366x768,4899752.0
197,Quantum,Ultrabook,Intel Core i5 1.6GHz,4GB,256GB Flash Storage,Intel HD Graphics 6000,Orange OS X,1.08kg,11.6inch 1366x768,16429588.0
198,Zenith,Notebook,Intel Core i5 7200U 2.5GHz,12GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 950M,Gemini 5,2.4kg,15.6inch Full HD 1920x1080,17286188.0
199,Zenith,Notebook,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Penguin OS,2.5kg,15.6inch Full HD 1920x1080,16772228.0
200,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R5 M430,Gemini 5,2.24kg,15.6inch Full HD 1920x1080,9679580.0
201,Zenith,Notebook,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.23kg,15.6inch 1366x768,9405468.0
202,Eclipse,Notebook,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.3kg,15.6inch Touchscreen 1366x768,7520948.0
203,Vivid,Ultrabook,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,,Gemini 5,1.26kg,12.5inch 1366x768,21312208.0
204,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 2,2.02kg,14.0inch Full HD 1920x1080,22956880.0
205,Eclipse,Notebook,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,AMD Radeon 530,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,12831868.0
206,Galaxy,,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Gemini 5,2.7kg,17.3inch Full HD 1920x1080,23111068.0
207,Vivid,Netbook,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.26kg,12.5inch 1366x768,23796348.0
208,Eclipse,Notebook,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,,Gemini 5,1.64kg,14.0inch Full HD 1920x1080,21924334.36
209,Pulse,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.74kg,14.0inch IPS Panel Full HD 1920x1080,15401668.0
210,Galaxy,Gaming,,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.4kg,15.6inch IPS Panel Full HD 1920x1080,30820468.0
211,Vivid,Notebook,Intel Pentium Quad Core N3710 1.6GHz,8GB,2TB HDD,Intel HD Graphics 405,Gemini 5,2.04kg,15.6inch 1366x768,6664348.0
212,Stellar,Gaming,Intel Core i5 7300HQ 2.5GHz,12GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.2kg,17.3inch Full HD 1920x1080,23469126.8
213,Vivid,Notebook,,4GB,500GB HDD,Intel HD Graphics 400,Gemini 5,2.1kg,15.6inch 1366x768,5944804.0
214,Eclipse,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.62kg,13.3inch Full HD / Touchscreen 1920x1080,14031108.0
215,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,,1TB HDD,Intel HD Graphics 620,Gemini 5,2.18kg,15.6inch 1366x768,12130483.92
216,Eclipse,Ultrabook,,4GB,500GB HDD,Intel HD Graphics 520,Gemini 2,1.5kg,12.5inch 1366x768,19447389.8
217,Eclipse,Notebook,Intel Core i5 7300U 2.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Gemini 5,1.93kg,15.6inch 1366x768,16429588.0
218,Eclipse,Notebook,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Penguin OS,2.09kg,15.6inch 1366x768,8970829.16
219,Vivid,Notebook,,8GB,1TB HDD,Nvidia GeForce 930MX ,Gemini 5,2.5kg,17.3inch Full HD 1920x1080,17440376.0
220,Epic,Notebook,Intel Atom X5-Z8350 1.44GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,Gemini 5,1.35kg,13.3inch Full HD 1920x1080,3357872.0
221,Vivid,Notebook,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon R5,Gemini 5,1.91kg,15.6inch Full HD 1920x1080,8377376.68
222,Stellar,Gaming,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Gemini 5,3.2kg,17.3inch Full HD 1920x1080,26537468.0
223,Celestial,Ultrabook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.05kg,13.0inch IPS Panel Full HD 2160x1440,23111068.0
224,Vivid,Notebook,AMD A6-Series A6-9220 2.5GHz,8GB,128GB SSD,AMD Radeon R4 Graphics,Gemini 5,1.91kg,15.6inch 1366x768,7639158.8
225,Eclipse,2 in 1 Convertible,Intel Core i5 7200U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2.3kg,15.6inch IPS Panel Full HD / Touchscreen 1920x1080,18742408.0
226,Eclipse,Notebook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Gemini 5,2kg,15.6inch Full HD 1920x1080,19577593.0
227,Eclipse,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050Ti,Penguin OS,2.62kg,15.6inch Full HD 1920x1080,15915628.0
228,Stellar,Gaming,Intel Core i7 6700HQ 2.6GHz,24GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 965M,Gemini 5,4.33kg,17.3inch IPS Panel Full HD / Touchscreen 1920x1080,21740508.0
229,Pulse,,Intel Core i7 6600U 2.6GHz,16GB,256GB SSD,Intel HD Graphics 520,Gemini 2,1.1kg,14.0inch IPS Panel 2560x1440,44885840.0
230,Pulse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,AMD Radeon R7 M460,No OS,1.5kg,14.0inch IPS Panel Full HD 1920x1080,13688468.0
231,Vivid,2 in 1 Convertible,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.48kg,13.3inch Touchscreen 2560x1440,30820468.0
232,Eclipse,Notebook,Intel Core i5 7300U 2.6GHz,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.93kg,15.6inch Full HD 1920x1080,24441539.12
233,Vivid,Notebook,Intel Core i5 8250U 1.6GHz,8GB,512GB SSD,Intel UHD Graphics 620,Gemini 5,1.49kg,13.3inch Full HD 1920x1080,16429588.0
234,Vivid,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Gemini 5,2.1kg,15.6inch Full HD 1920x1080,8189096.0
235,Stellar,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.10kg,14.0inch Full HD 1920x1080,32088236.0
236,Traverse,Notebook,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.2kg,13.3inch Full HD 1920x1080,26297620.0
237,Stellar,Gaming,,16GB,256GB SSD,Nvidia GeForce GTX 1080,Gemini 5,3.6kg,17.3inch Full HD 1920x1080,51378868.0
238,Zenith,Ultrabook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.6kg,14.0inch IPS Panel Full HD 1920x1080,13191640.0
239,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.86kg,15.6inch Full HD 1920x1080,11821080.0
240,Eclipse,Workstation,Intel Core i7 7820HQ 2.9GHz,16GB,256GB SSD,Nvidia Quadro M1200,Gemini 5,3.42kg,17.3inch Full HD 1920x1080,49423421.52
241,Eclipse,Gaming,,8GB,1TB HDD,Nvidia GeForce GTX 1050Ti,Gemini 5,2.62kg,15.6inch Full HD 1920x1080,20541268.0
242,Pulse,Notebook,Intel Core i3 7130U 2.7GHz,4GB,128GB SSD,Intel HD Graphics 620,Gemini 5,2.05kg,15.6inch Full HD 1920x1080,10793160.0
243,Pulse,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.37kg,13.3inch IPS Panel Full HD / Touchscreen 1920x1080,33750040.0
244,Vivid,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.34kg,13.3inch IPS Panel Full HD 1920x1080,22665636.0
245,Pulse,Ultrabook,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.7kg,14.0inch IPS Panel Full HD 1920x1080,25509376.68
246,Pulse,Ultrabook,,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.36kg,12.5inch IPS Panel Full HD 1920x1080,28267800.0
247,Eclipse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon R5 M430,Penguin OS,2.3kg,15.6inch 1366x768,13808220.68
248,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.6kg,14.0inch 1366x768,19302795.72
249,Quasar,Gaming,Intel Core i7 7820HK 2.9GHz,32GB,1TB SSD,Nvidia GeForce GTX 1080,Gemini 5,3.49kg,17.3inch 4K Ultra HD / Touchscreen 3840x2160,104488068.0
250,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,2.3kg,15.6inch Full HD 1920x1080,23111068.0
251,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,8GB,1.0TB HDD,AMD Radeon R5 M330,Gemini 5,3.0kg,17.3inch 1600x900,11289988.0
252,Eclipse,Notebook,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,Gemini 5,2.06kg,15.6inch Full HD 1920x1080,32533668.0
253,Pulse,Notebook,Intel Core i3 6006U 2.0GHz,,128GB SSD,Intel HD Graphics 520,Gemini 5,2.3kg,15.6inch 1366x768,9679580.0
254,Vivid,Notebook,Intel Pentium Quad Core N3710 1.6GHz,8GB,2TB HDD,Intel HD Graphics 405,Gemini 5,1.94kg,14.0inch 1366x768,6664348.0
255,Vivid,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.28kg,13.3inch Full HD / Touchscreen 1920x1080,29124400.0
256,Vivid,Ultrabook,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.43kg,14.0inch Full HD 1920x1080,25698000.0
257,Vivid,Ultrabook,Intel Core M 6Y75 1.2GHz,16GB,512GB SSD,Intel HD Graphics 515,Gemini 5,1.16kg,13.3inch IPS Panel Quad HD+ / Touchscreen 3200x1800,33664380.0
258,Traverse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2.0kg,15.6inch IPS Panel Full HD 1920x1080,16155476.0
259,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,6GB,2TB HDD,AMD Radeon 520,Gemini 5,2.71kg,17.3inch IPS Panel Full HD 1920x1080,11975268.0
260,Eclipse,Notebook,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.18kg,15.6inch 1366x768,10049631.2
261,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Gemini 5,2.7kg,17.3inch Full HD 1920x1080,20541268.0
262,Eclipse,Gaming,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,4.36kg,17.3inch 4K Ultra HD 3840x2160,62692840.8
263,Vivid,Notebook,,8GB,256GB SSD,,Gemini 5,1.91kg,15.6inch 1366x768,10604536.68
264,Zenith,Gaming,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Penguin OS,2.4kg,15.6inch Full HD 1920x1080,13671336.0
265,Quasar,Ultrabook,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.25kg,12.5inch Touchscreen / 4K Ultra HD 3840x2160,17628828.0
266,Vivid,Notebook,Intel Core i5 8250U 1.6GHz,6GB,256GB SSD,AMD Radeon 520,Gemini 5,1.91kg,15.6inch Full HD 1920x1080,10604708.0
267,Quantum,Ultrabook,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,Orange OS,1.37kg,13.3inch IPS Panel Retina Display 2560x1600,30899275.2
268,Stellar,Notebook,Intel Celeron Dual Core N3050 1.6GHz,4GB,500GB HDD,Intel HD Graphics,Gemini 5,2.2kg,15.6inch 1366x768,6321708.0
269,Pulse,,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel HD Graphics 520,Gemini 5,2.1kg,15.6inch 1366x768,7349628.0
270,Eclipse,Notebook,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.3kg,15.6inch 1366x768,7863588.0
271,Eclipse,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,2.09kg,15.6inch Full HD / Touchscreen 1920x1080,20198628.0
272,Zenith,Netbook,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,RamEater OS,1.35kg,11.6inch IPS Panel 1366x768,6081860.0
273,Eclipse,Ultrabook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Gemini 5,1.4kg,13.3inch IPS Panel Full HD 1920x1080,15964968.16
274,Eclipse,Ultrabook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.2kg,13.3inch Full HD 1920x1080,24824268.0
275,Orbit,Ultrabook,Intel Core i7 7660U 2.5GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Gemini 5 S,1.25kg,13.5inch Touchscreen 2256x1504,30820468.0
276,Vivid,Netbook,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,RamEater OS,1.23kg,11.6inch 1366x768,6595820.0
277,Stellar,Ultrabook,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.1kg,14.0inch Full HD 1920x1080,32550800.0
278,Traverse,Notebook,,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.05kg,13.3inch Full HD 1920x1080,25269700.0
279,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.8kg,17.3inch Full HD 1920x1080,32379480.0
280,Vivid,Ultrabook,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 2,1.88kg,15.6inch Full HD 1920x1080,37205907.04
281,Eclipse,Notebook,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Gemini 5,1.64kg,14.0inch Full HD 1920x1080,20198628.0
282,Pulse,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.32kg,14.0inch Full HD 1920x1080,31848388.0
283,Vivid,Notebook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.63kg,14.0inch Full HD 1920x1080,16926416.0
284,Vivid,Gaming,Intel Core i5 6300HQ 2.3GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,3.35kg,17.3inch IPS Panel Full HD 1920x1080,19342028.0
285,Pulse,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Gemini 5,2.5kg,15.6inch IPS Panel Full HD 1920x1080,18485428.0
286,Stellar,Gaming,,64GB,1TB SSD,Nvidia GeForce GTX 980 ,Gemini 5,3.58kg,17.3inch IPS Panel Full HD 1920x1080,68099700.0
287,Eclipse,Notebook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,13661228.12
288,Pulse,Gaming,AMD FX 8800P 2.1GHz,16GB,512GB SSD +  1TB HDD,AMD Radeon R9 M385,Gemini 5,2.5kg,15.6inch IPS Panel Full HD 1920x1080,17114868.0
289,Eclipse,,Intel Core i7 7500U 2.7GHz,16GB,1TB HDD,AMD Radeon R7 M445,Gemini 5,2.3kg,15.6inch Full HD / Touchscreen 1920x1080,14716559.32
290,Vivid,Notebook,,4GB,256GB SSD,Intel HD Graphics 520,Gemini 2,1.54kg,14.0inch Full HD 1920x1080,18845028.68
291,Future,Notebook,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,Intel HD Graphics 520,Gemini 5,2.3kg,15.6inch 1366x768,11118668.0
292,Stellar,Gaming,Intel Core i7 6700HQ 2.6GHz,16GB,512GB SSD +  1TB HDD,,Gemini 5,4.3kg,17.3inch IPS Panel Full HD 1920x1080,36833800.0
293,Vivid,Notebook,AMD A6-Series A6-9220 2.5GHz,,256GB SSD,AMD Radeon 520,Gemini 5,1.91kg,15.6inch Full HD 1920x1080,8204343.479999999
294,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,2.8kg,17.3inch Full HD 1920x1080,38529868.0
295,Eclipse,Notebook,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Gemini 5,2.18kg,15.6inch 1366x768,9371204.0
296,Pulse,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.37kg,13.3inch IPS Panel Full HD / Touchscreen 1920x1080,33407400.0
297,Eclipse,Ultrabook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.21kg,13.3inch IPS Panel Full HD 1920x1080,27908028.0
298,Vivid,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,No OS,1.86kg,15.6inch 1366x768,5927500.68
299,Eclipse,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.65kg,15.6inch IPS Panel Full HD 1920x1080,25680868.0
300,Eclipse,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2.191kg,15.6inch IPS Panel Full HD / Touchscreen 1920x1080,17114868.0
